Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.2,Success,25 July 2019,25 July 2019
74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.3,No attempt,6 August 2019,6 August 2019
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,11 November 2019,11 November 2019
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,5 December 2019,5 December 2019
77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.3,Success,17 December 2019,17 December 2019
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 January 2020,7 January 2020
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,No attempt,19 January 2020,19 January 2020
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,29 January 2020,29 January 2020
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,17 February 2020,17 February 2020
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 March 2020,7 March 2020
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,18 March 2020,18 March 2020
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 April 2020,22 April 2020
